camera,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2
DSC05381,-0.9918329335592939,0.043361524298728235,0.11994669698518715,0.11027161454493353,0.7641001973744884,0.6356029101553279,-0.06409058380775684,0.6436386148940714,-0.7626412855887241,-1.0422953065312677,-1.6183958382027217,-0.7873750026281259
DSC05382,-0.9910567592286548,0.04930069958723476,0.1239997621264063,0.12244263423907374,0.7054001394744922,0.6981535966748031,-0.05304998876335889,0.7070926984841354,-0.7051280837143215,-1.0506240278061236,-1.849147866872343,-0.9593399300379291
DSC05383,-0.9898645531164694,0.05664713455368976,0.1302277567586447,0.1365227628575031,0.6321164417044774,0.7627518202853563,-0.03911140121865434,0.7728000428789626,-0.6334432824026056,-1.062787488594903,-2.0694294624756813,-1.124479447818064
DSC05384,-0.9902203606541915,0.05645905399638894,0.12757747672577607,0.13409488262869076,0.637521101290285,0.7586734527202199,-0.03849934802929474,0.7683613867389842,-0.6388572450632961,-1.0756496975237513,-2.278453820506138,-1.3155571084536979
DSC05385,-0.9891798143676926,0.06276868958613403,0.13260236217781682,0.14516667689066146,0.5494527659311175,0.8228172907341986,-0.021211571559402547,0.833163699172188,-0.5526195070875589,-1.090030040192085,-2.4659764188783404,-1.4942843910546189
DSC05386,-0.9867273343120326,0.07280840918506544,0.14514855587779815,0.16208106654695134,0.3868452608192261,0.9077887816274816,0.009944626110264842,0.9192658373580762,-0.39351165761370066,-1.1143699100996602,-2.653010117387722,-1.7998010331087395
DSC05387,-0.9850792406582862,0.07741640298939877,0.15370618130796623,0.16941280295053207,0.27894643266435487,0.9452450422510954,0.030301680160324328,0.9571810634629236,-0.28789966989812227,-1.1342976697142746,-2.784739953966478,-2.050914697435251
DSC05388,-0.9833268266126878,0.0827153820011577,0.16194603312283956,0.1723820397024737,0.14042763305883427,0.9749689801534756,0.05790323351796595,0.9866297408115651,-0.15234490504860343,-1.1549837332413544,-2.859966023853913,-2.3277909845783418
DSC05389,-0.9821451614458412,0.08231864546640899,0.16915827634821262,0.1742533316646957,0.059197234589450545,0.9829198664289551,0.07089892983872295,0.9948463841345243,-0.07248457575365017,-1.1748984812529562,-2.978176774688991,-2.5780484439838087
DSC05390,-0.980752996268647,0.0862150674376525,0.17518710699361612,0.17418727398183242,-0.01904519435829546,0.9845283511177485,0.08821765068765844,0.996094494874144,0.003661063858292242,-1.1900527153646276,-3.0014175432106756,-2.7750337771501883
DSC05391,-0.9802194580123749,0.08554240924830313,0.1784721556823973,0.17253733035083535,-0.07242398500142022,0.9823368241249644,0.09695712335528915,0.9936987786127696,0.05623214040170768,-1.212839333655782,-3.0118180499231384,-3.0438387071104875
DSC05392,-0.9792532497823478,0.0857002874818303,0.1836260698164685,0.1723924396141828,-0.12395682779357428,0.9771978057728254,0.10650783799599572,0.9885798731356439,0.10661104481493894,-1.2271851088968615,-2.9676072534770324,-3.2204655282696852
DSC05393,-0.9797354160642568,0.0840060743397788,0.18182819908753786,0.17380349683722285,-0.09464262039837484,0.9802219742952525,0.09955329726609367,0.9919605606465152,0.07812417759759188,-1.239238805473825,-3.047282215721851,-3.3790735409235064
DSC05394,-0.9781977372345187,0.08551457626601851,0.18925232922030488,0.16838785247230412,-0.20677863973951977,0.9637884235075869,0.12155129785005558,0.9746434483407341,0.18787078164911586,-1.2679096429813825,-2.8969304756498704,-3.6985012465053253
DSC05395,-0.9765747212739746,0.08519117353168029,0.1975962492583153,0.16361121037427676,-0.3024624406829749,0.9390142937229241,0.13976117346574926,0.9493465836713131,0.281438942691099,-1.2891593894602478,-2.795916804715202,-3.9418368956322336
DSC05396,-0.9752506944042083,0.08364248682683799,0.20467050950621038,0.15876405801009733,-0.37934314572951155,0.9115331873674184,0.15388325753075266,0.9214676945967561,0.3566752456594984,-1.3058544430977104,-2.6852739112694763,-4.115585769525896
DSC05397,-0.9743004906422754,0.08338088943449086,0.2092514783970105,0.15555261035454643,-0.4228308830416384,0.8927583266249132,0.16291697071240924,0.9023644893408327,0.39899422180095595,-1.324338793196702,-2.5966590698896863,-4.327906028462215
DSC05398,-0.9734956666266177,0.08268843822344789,0.21323416528165495,0.1531272774188666,-0.45687400205936873,0.8762523512964411,0.16987708488634534,0.8856798340407346,0.4321030057799808,-1.3378135320509519,-2.50201853288783,-4.47195275766132
DSC05399,-0.9730362005375899,0.0824376412634569,0.21541724106089732,0.14952085179268332,-0.4856870881168248,0.8612500027958144,0.17562479130965997,0.8702367998076831,0.4602649725298691,-1.3577937276105898,-2.405369617316811,-4.677635765301274
DSC05400,-0.9720280507776857,0.08147485682437967,0.22028008581526295,0.14537681300865052,-0.5279148041299261,0.836762536099645,0.18446422618161123,0.8453802737738257,0.5013034430096314,-1.3724241814548765,-2.297055732858496,-4.842728969299972
DSC05401,-0.9708867578519174,0.07667781265485488,0.2269348286937454,0.1350785500531188,-0.607126011081109,0.7830400960259244,0.1978198391045239,0.7908972877151673,0.579093076751442,-1.4040974513613431,-2.0992648869059227,-5.168761817997787
DSC05402,-0.9693847565406777,0.07078429939725127,0.23512289711002543,0.12270858319746868,-0.6897574956891201,0.7135665356155255,0.21268708798665054,0.7205721199848868,0.6599545609390434,-1.4162571492474056,-1.8397647076142725,-5.295898712840467
DSC05403,-0.9671074742056645,0.06584059324179894,0.2456993073191464,0.10343640385578401,-0.7806606707531197,0.6163358074107592,0.23238770125142924,0.6214772187464779,0.7481724553110862,-1.4283791305426208,-1.5667191628187402,-5.390730109644978
DSC05404,-0.9662635644322746,0.06154620057831427,0.2500935609827039,0.09308586449166295,-0.8219372506957443,0.5619200812843057,0.24014525996253863,0.5662430759957202,0.7884789363099246,-1.4414967973175474,-1.345762937301306,-5.498341266516337
DSC05405,0.011057280139980587,0.797909514316952,0.602675819589928,-0.8842446006868658,-0.27361723833790724,0.3784773349098497,0.4668931598471234,-0.5370977693556572,0.7025217174160142,-1.3796951911786048,-0.32300190782942745,-5.237624953435073
DSC05406,0.004154235886756119,0.79374196881421,0.6082404370535873,-0.9213581408702117,-0.23338449154786137,0.3108550391374304,0.38869257592136264,-0.5616986434449421,0.7303510904871215,-1.3926674432192945,-0.14486299352784338,-5.39130843737853
DSC05407,0.053682742792248515,0.7901706763862251,0.6105312975643732,-0.8929495631403016,-0.2356750763291392,0.3835340090328354,0.4469443374894083,-0.565762813002578,0.6929308757802354,-1.3912653467207354,-0.1296638753397429,-5.401355214384383
DSC05408,0.039096824467856735,0.7850465568812086,0.61820169996975,-0.9696328390288086,-0.11966837511399675,0.21328768711416163,0.24141995732221955,-0.6077675406983619,0.7565282682623319,-1.4336406793191,0.36019182849116826,-5.7832037332765935
DSC05409,0.052531472775996735,0.7886424550062204,0.6126038871324166,-0.8857205908146888,-0.2465417449777153,0.39333980600775964,0.4612369015753873,-0.5632585961573113,0.6855656602252126,-1.3896215591541965,-0.36749741787299206,-5.473904073193133
DSC05410,0.053783453681971176,0.7943127382065402,0.6051236353282422,-0.8750821701593882,-0.25440195340657007,0.411716943508592,0.4809766476443271,-0.5516764631790538,0.6814062990573798,-1.4219722155125072,-0.8020676884638441,-5.696949492722992
DSC05411,0.05606558649744332,0.7993808407311523,0.5982030771256979,-0.7785332744456748,-0.3401101646190085,0.5274571229054802,0.625094065394636,-0.4952931933660984,0.6032761076104536,-1.3871610173263507,-1.1799344232823992,-5.475665481951883
DSC05412,0.05724200359992125,0.7999356990862033,0.5973493369472623,-0.7779402674758319,-0.33926649317426616,0.5288735074182361,0.6257254136308498,-0.49497588217680166,0.6028818978869734,-1.358685246505453,-1.3493855551199279,-5.153040357608437
DSC05413,0.06907453429383184,0.8097291690169636,0.5827241041480846,-0.5957195071181033,-0.4350618591099452,0.6751588313773008,0.800216831584449,-0.3937763979606905,0.4523197661589086,-1.3234798839091373,-1.611130046004666,-4.796196570747149
DSC05414,-0.07021176683737128,0.8631827066365012,0.4999859225630843,0.8129290952015195,0.33999331034326763,-0.4728116274973212,-0.5781146892896025,0.37325616389486516,-0.7255778677316971,-1.1086699561823785,1.8572561047152591,-1.7097013409143575
DSC05415,-0.06417226817126709,0.8658063776750733,0.4962471525106449,0.866932060929203,0.29466489720587924,-0.40199676626521896,-0.494277980220442,0.4044155223675481,-0.7695046221676537,-1.0987019547756305,1.5309155100782357,-1.6126986544148478
DSC05417,-0.0598054610979465,0.8681164353944439,0.4927445194224961,0.8936833119968564,0.2664723468741424,-0.36100225236100175,-0.44469477698888227,0.4187676479259488,-0.7917576727568714,-1.0855339224658886,1.4017041160504344,-1.5100352153915524
DSC05418,-0.06137398556585233,0.8676636007479779,0.4933488723335814,0.8959274583793156,0.26575485537517873,-0.355933064165859,-0.43994002229592866,0.4201597705416021,-0.7936740792042324,-1.0811335056112215,1.23925093660659,-1.487567758089628
DSC05419,-0.058078585673402724,0.8672576244791991,0.4944604035399339,0.9168419961345669,0.24231135529954054,-0.3173105123012514,-0.3950033316443799,0.4349131176172969,-0.809211312398834,-1.063989342872296,1.058143409249759,-1.2850782180743228
DSC05420,-0.0582224416147597,0.8669771900084084,0.49493504553379536,0.9151900081681952,0.24440260572173086,-0.3204600057191647,-0.3987949300599428,0.4343016443919506,-0.8076785780475627,-1.054544722613432,0.8662098805569332,-1.2083493298951926
DSC05421,-0.1167028086419106,0.9316874069984189,0.3440044041806042,0.17282395682292997,0.36013744039571194,-0.9167512770502646,-0.9780144857839047,-0.047535246562817636,-0.20304695499085057,-1.685721525329098,3.2962604788031014,-3.084251103131959
